Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,scaffold,umap_cluster
CHEMBL1774689,,,613.51,1.0,4.62,"41, cis diastereomeric mixture",O=C1[C@H]2Cc3c([nH]c4ccc(Br)cc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(Cc2ccccc2)C1,IC50,'=',7000.0,nM,5.16,,,UO_0000065,0,CHEMBL1776684,organism-based format,,CHEMBL1773068,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-susceptible Plasmodium falciparum GHA strain infected in human erythrocytes after 72 hrs by spectrophotometry,GHA,5.15,inactive,5.15,chloroquine susceptible,CQS,5-6,2,164,O=C1C2Cc3c([nH]c4ccccc34)C(c3ccc4c(c3)OCO4)N2C(=O)CN1C1CCN(Cc2ccccc2)C1,90
CHEMBL342178,,,440.38,1.0,5.59,6,Clc1ccc2c(NCCCNCCNc3ccnc4cc(Cl)ccc34)ccnc2c1,IC50,'=',7.0,nM,8.15,,,UO_0000065,0,CHEMBL760053,organism-based format,,CHEMBL1131162,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against chloroquine-resistant Plasmodium falciparum W2,W2,8.15,high_potency,8.535,chloroquine resistant,CQR,≥7,6,5923,c1ccc2c(NCCCNCCNc3ccnc4ccccc34)ccnc2c1,441
CHEMBL52476,,,168.24,0.0,2.45,4d,C1=C[C@@H](C2CCCCC2)OOC1,IC50,'=',3200.0,nM,5.5,,,UO_0000065,0,CHEMBL766997,organism-based format,,CHEMBL1149128,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against Plasmodium falciparum D2,D2,5.49,inactive,5.49,,,5-6,1,27,C1=CC(C2CCCCC2)OOC1,-1
CHEMBL91248,,,540.62,2.0,7.32,9a,Cc1ccc(CC(=O)Nc2ccc(NC(=O)/C=C/c3ccc(-c4ccccc4)o3)cc2C(=O)c2ccccc2)cc1,IC50,'=',415.0,nM,6.38,,,UO_0000065,0,CHEMBL762988,organism-based format,,CHEMBL1135339,1,Scientific Literature,Bioorg Med Chem Lett,,Inhibitory concentration against multidrug-resistant Plasmodium falciparum Dd2.,Dd2,6.38,active,6.38,multidrug resistant,MDR,6-7,1,3864,O=C(C=Cc1ccc(-c2ccccc2)o1)Nc1ccc(NC(=O)Cc2ccccc2)c(C(=O)c2ccccc2)c1,152
CHEMBL482921,,,371.91,1.0,5.1,SSJ-206,CCN(CC)c1ccc2nc3ccc(N4CCCCC4)cc3[o+]c2c1,IC50,'=',2.69,nM,8.57,,,UO_0000065,0,CHEMBL1034086,organism-based format,,CHEMBL1152732,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1,K1,8.57,high_potency,8.545,chloroquine and pyrimethamine resistant,"CQR, PYRR",≥7,2,5948,c1ccc2[o+]c3cc(N4CCCCC4)ccc3nc2c1,280
CHEMBL137686,,,427.34,1.0,5.63,1,Clc1ccc2c(NCCOCCNc3ccnc4cc(Cl)ccc34)ccnc2c1,IC50,'=',16.0,nM,7.8,,,UO_0000065,0,CHEMBL760052,organism-based format,,CHEMBL1131162,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum D6 in vitro.,D6,7.8,high_potency,8.36,,,≥7,4,2297,c1ccc2c(NCCOCCNc3ccnc4ccccc34)ccnc2c1,257
CHEMBL1917535,,,477.4,0.0,3.98,7b,C/N=C(/N)Nc1ccc(Oc2ccc(Oc3ccc(N/C(N)=N/C)cc3)cc2)cc1,IC50,'=',14.1,nM,7.85,,,UO_0000065,0,CHEMBL1921071,organism-based format,,CHEMBL1914412,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against Plasmodium falciparum K1 infected in human red blood cells assessed as [3H]hypoxanthine incorporation after 48 hrs by liquid scintillation counting,K1,7.85,high_potency,7.85,,,≥7,1,5948,c1ccc(Oc2ccc(Oc3ccccc3)cc2)cc1,296
CHEMBL1796421,,,446.89,1.0,6.55,6k,Cc1ccc(C2OOC(c3ccc(/C=N/c4ccnc5cc(Cl)ccc45)cc3)OO2)cc1,IC50,'=',570.0,nM,6.24,,,UO_0000065,0,CHEMBL1798902,organism-based format,,CHEMBL1795212,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against Plasmodium falciparum W2 assessed as plasmodial LDH activity after 72 hrs,W2,6.24,active,6.24,,,6-7,2,5923,C(=Nc1ccnc2ccccc12)c1ccc(C2OOC(c3ccccc3)OO2)cc1,379
CHEMBL530228,,,352.38,0.0,1.73,8; 024101,NS(=O)(=O)c1cncc(-c2ccc3nccc(-c4cn[nH]c4)c3n2)c1,IC50,'=',543.0,nM,6.26,,,UO_0000065,0,CHEMBL4125214,organism-based format,,CHEMBL4118268,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum NF54 by lactate dehydrogenase assay,NF54,6.27,active,6.27,chloroquine sensitive,CQS,6-7,5,4725,c1cncc(-c2ccc3nccc(-c4cn[nH]c4)c3n2)c1,314
CHEMBL4127328,,,387.42,0.0,2.88,11,N#Cc1ccc(-c2ccnc3ccc(-c4cncc(S(N)(=O)=O)c4)nc23)cc1,IC50,'=',424.0,nM,6.37,,,UO_0000065,0,CHEMBL4125214,organism-based format,,CHEMBL4118268,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum NF54 by lactate dehydrogenase assay,NF54,6.37,active,6.37,chloroquine sensitive,CQS,6-7,1,4725,c1ccc(-c2ccnc3ccc(-c4cccnc4)nc23)cc1,314
CHEMBL4129571,,,361.43,0.0,3.76,29,CS(=O)(=O)c1cccc(-c2ccc3nccc(-c4ccncc4)c3n2)c1,IC50,'=',147.0,nM,6.83,,,UO_0000065,0,CHEMBL4125214,organism-based format,,CHEMBL4118268,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum NF54 by lactate dehydrogenase assay,NF54,6.83,active,6.83,chloroquine sensitive,CQS,6-7,1,4725,c1ccc(-c2ccc3nccc(-c4ccncc4)c3n2)cc1,314
CHEMBL4126982,,,397.48,0.0,3.65,40,CN(C)CCNC(=O)c1cccc(-c2ccc3nccc(-c4ccncc4)c3n2)c1,IC50,'=',2623.0,nM,5.58,,,UO_0000065,0,CHEMBL4125214,organism-based format,,CHEMBL4118268,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum NF54 by lactate dehydrogenase assay,NF54,5.58,inactive,5.58,chloroquine sensitive,CQS,5-6,1,4725,c1ccc(-c2ccc3nccc(-c4ccncc4)c3n2)cc1,314
CHEMBL137883,,,304.29,0.0,3.88,B25,COc1ccc(C(=O)/C=C/c2ccc(F)cc2F)c(OC)c1,IC50,'=',11100.0,nM,4.96,,,UO_0000065,0,CHEMBL3063284,single protein format,,CHEMBL3046787,1,Scientific Literature,Med Chem Res,,Inhibition of Plasmodium falciparum W2,W2,4.95,inactive,5.206667,,,≤5,6,5923,O=C(C=Cc1ccccc1)c1ccccc1,-1
CHEMBL1386565,,,239.27,0.0,2.99,A17,COc1ccc(/C=C/C(=O)c2ccccn2)cc1,IC50,'=',12000.0,nM,4.92,,,UO_0000065,0,CHEMBL3063284,single protein format,,CHEMBL3046787,1,Scientific Literature,Med Chem Res,,Inhibition of Plasmodium falciparum W2,W2,4.92,inactive,4.92,,,≤5,2,5923,O=C(C=Cc1ccccc1)c1ccccn1,-1
CHEMBL2237700,,,318.37,0.0,4.75,A11,COc1cc(/C=C/C(=O)c2cccc3ccccc23)cc(OC)c1,IC50,'=',4300.0,nM,5.37,,,UO_0000065,0,CHEMBL3063284,single protein format,,CHEMBL3046787,1,Scientific Literature,Med Chem Res,,Inhibition of Plasmodium falciparum W2,W2,5.37,inactive,5.37,,,5-6,2,5923,O=C(C=Cc1ccccc1)c1cccc2ccccc12,-1
CHEMBL463691,,,348.44,0.0,3.43,5,C=C1CC[C@@H]2[C@](C)(CCC[C@]2(C)C(=O)O)[C@H]1CCC1=CC(=O)OC1O,IC50,'=',84100.0,nM,4.08,,,UO_0000065,0,CHEMBL1017630,organism-based format,,CHEMBL1151174,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against Plasmodium falciparum 3D7 by [3H]phenylalanine uptake,3D7,4.08,inactive,4.08,,,≤5,1,7375,C=C1CCC2CCCCC2C1CCC1=CC(=O)OC1,-1
CHEMBL593018,,,182.23,0.0,2.68,18,Cn1cc2nccc-2c2ccccc21,IC50,'=',3200.0,nM,5.5,,,UO_0000065,0,CHEMBL1067384,organism-based format,,CHEMBL1152627,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1 by [3H]hypoxanthine incorporation assay,K1,5.49,inactive,5.49,chloroquine and pyrimethamine resistant,"CQR, PYRR",5-6,1,5948,c1ccc2c3ccnc-3c[nH]c2c1,419
CHEMBL1773161,,,547.19,2.0,6.35,12,Cc1cc(NCCCN2CCCC2)c2ccc3c(ccc4c(NCCCN5CCCC5)cc(C)nc43)c2n1,IC50,'=',34.29,nM,7.46,,,UO_0000065,0,CHEMBL1775511,organism-based format,,CHEMBL1773055,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum C235,TM91-C235,7.46,active,7.46,,,≥7,3,580,c1cc(NCCCN2CCCC2)c2ccc3c(ccc4c(NCCCN5CCCC5)ccnc43)c2n1,403
CHEMBL520569,DIHYDROUSAMBARENSINE,,436.6,1.0,5.52,51,C/C=C1\CN2CCC3c4ccccc4NC3[C@@H]2C[C@@H]1CC1=NCCc2c1[nH]c1ccccc21,IC50,'=',857.0,nM,6.07,,,UO_0000065,0,CHEMBL1009030,organism-based format,,CHEMBL1150125,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum FCA 20/ Ghana by [3H]hypoxanthine uptake,FCA20,6.07,active,6.07,chloroquine sensitive,CQS,6-7,2,49,C=C1CN2CCC3c4ccccc4NC3C2CC1CC1=NCCc2c1[nH]c1ccccc21,348
CHEMBL2368244,,,486.61,1.0,7.09,11a,C[C@H]1[C@H](Oc2ccc(-c3cccc4ccccc34)cc2)O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',2.88,nM,8.54,,,UO_0000065,0,CHEMBL763543,organism-based format,,CHEMBL1134464,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against chloroquine-resistant Plasmodium falciparum K1,K1,8.54,high_potency,8.54,chloroquine resistant,CQR,≥7,2,5948,c1ccc2c(-c3ccc(OC4CC5CCCC6CCC7OOC65C(O7)O4)cc3)cccc2c1,206
CHEMBL460161,,,526.06,1.0,4.79,11,CCN(CCNc1ccnc2cc(Cl)ccc12)CCNS(=O)(=O)c1ccc(Oc2ccccc2)nc1,IC50,'=',274.0,nM,6.56,,,UO_0000065,0,CHEMBL1018965,organism-based format,,CHEMBL1139313,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum Dd2 after 72 hrs,Dd2,6.56,active,6.56,chloroquine resistant,CQR,6-7,2,3864,O=S(=O)(NCCNCCNc1ccnc2ccccc12)c1ccc(Oc2ccccc2)nc1,-1
CHEMBL330260,,,813.83,2.0,10.1,16,COc1ccc2nc3cc(Cl)ccc3c(NCCCN(CCCNc3c4ccc(Cl)cc4nc4ccc(OC)cc34)C(=O)C(NC(=O)OC(C)(C)C)C(C)C)c2c1,IC50,'=',49.0,nM,7.31,,,UO_0000065,0,CHEMBL856676,organism-based format,,CHEMBL1133105,1,Scientific Literature,J Med Chem,,Growth inhibition of chloroquine-resistant Plasmodium falciparum 3D7,3D7,7.31,active,7.31,growth inhibition of chloroquine resistant,CQR,≥7,8,7375,c1ccc2c(NCCCNCCCNc3c4ccccc4nc4ccccc34)c3ccccc3nc2c1,306
CHEMBL1761045,,,446.93,0.0,4.92,5l,O=C1CCN(C(C(=O)Nc2ccc(Cl)cc2C(=O)c2ccccc2)c2ccccc2)CC1,IC50,'=',7430.0,nM,5.13,,,UO_0000065,0,CHEMBL1763952,organism-based format,,CHEMBL1759987,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against multidrug- resistant Plasmodium falciparum Dd2 assessed as inhibition of [3H]hypoxanthine incorporation after 72 hrs,Dd2,5.13,inactive,5.13,multidrug resistant,MDR,5-6,1,3864,O=C1CCN(C(C(=O)Nc2ccccc2C(=O)c2ccccc2)c2ccccc2)CC1,159
CHEMBL1761025,,,401.29,0.0,4.21,7b,N[C@@H](C(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1)c1ccccc1,IC50,'=',9250.0,nM,5.03,,,UO_0000065,0,CHEMBL1763952,organism-based format,,CHEMBL1759987,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against multidrug- resistant Plasmodium falciparum Dd2 assessed as inhibition of [3H]hypoxanthine incorporation after 72 hrs,Dd2,5.03,inactive,5.03,multidrug resistant,MDR,5-6,1,3864,O=C(Cc1ccccc1)Nc1ccccc1C(=O)c1ccccc1,159
CHEMBL1761035,,,493.01,0.0,4.45,9a,CN(C)CCN(C)C(=O)NC(C(=O)Nc1ccc(Cl)cc1C(=O)c1ccccc1)c1ccccc1,IC50,'=',2200.0,nM,5.66,,,UO_0000065,0,CHEMBL1763952,organism-based format,,CHEMBL1759987,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against multidrug- resistant Plasmodium falciparum Dd2 assessed as inhibition of [3H]hypoxanthine incorporation after 72 hrs,Dd2,5.66,inactive,5.66,multidrug resistant,MDR,5-6,1,3864,O=C(Cc1ccccc1)Nc1ccccc1C(=O)c1ccccc1,159
CHEMBL1761017,,,556.89,1.0,4.62,11c,O=C(c1ccccc1)c1cc(Cl)ccc1NC(=O)C(c1ccc(Br)cc1)N1CCN(CCO)CC1,IC50,'=',560.0,nM,6.25,,,UO_0000065,0,CHEMBL1763952,organism-based format,,CHEMBL1759987,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against multidrug- resistant Plasmodium falciparum Dd2 assessed as inhibition of [3H]hypoxanthine incorporation after 72 hrs,Dd2,6.25,active,6.25,multidrug resistant,MDR,6-7,1,3864,O=C(c1ccccc1)c1ccccc1NC(=O)C(c1ccccc1)N1CCNCC1,159
CHEMBL1761018,,,554.09,2.0,5.53,11d,O=C(c1ccccc1)c1cc(Cl)ccc1NC(=O)C(c1ccc(-c2ccccc2)cc1)N1CCN(CCO)CC1,IC50,'=',280.0,nM,6.55,,,UO_0000065,0,CHEMBL1763952,organism-based format,,CHEMBL1759987,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against multidrug- resistant Plasmodium falciparum Dd2 assessed as inhibition of [3H]hypoxanthine incorporation after 72 hrs,Dd2,6.55,active,6.55,multidrug resistant,MDR,6-7,1,3864,O=C(c1ccccc1)c1ccccc1NC(=O)C(c1ccc(-c2ccccc2)cc1)N1CCNCC1,159
CHEMBL1761019,,,528.05,2.0,5.01,11e,O=C(c1ccccc1)c1cc(Cl)ccc1NC(=O)C(c1cccc2ccccc12)N1CCN(CCO)CC1,IC50,'=',950.0,nM,6.02,,,UO_0000065,0,CHEMBL1763952,organism-based format,,CHEMBL1759987,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against multidrug- resistant Plasmodium falciparum Dd2 assessed as inhibition of [3H]hypoxanthine incorporation after 72 hrs,Dd2,6.02,active,6.02,multidrug resistant,MDR,6-7,1,3864,O=C(c1ccccc1)c1ccccc1NC(=O)C(c1cccc2ccccc12)N1CCNCC1,159
CHEMBL1761040,,,461.95,0.0,4.02,5g,O=CN1CCN(C(C(=O)Nc2ccc(Cl)cc2C(=O)c2ccccc2)c2ccccc2)CC1,IC50,'=',3770.0,nM,5.42,,,UO_0000065,0,CHEMBL1763952,organism-based format,,CHEMBL1759987,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against multidrug- resistant Plasmodium falciparum Dd2 assessed as inhibition of [3H]hypoxanthine incorporation after 72 hrs,Dd2,5.42,inactive,5.42,multidrug resistant,MDR,5-6,1,3864,O=C(c1ccccc1)c1ccccc1NC(=O)C(c1ccccc1)N1CCNCC1,159
CHEMBL1770933,,,298.39,0.0,2.57,13f(p),COc1ccc(CN(C)Cc2ccc(CNC=O)cc2)cc1,IC50,'=',37000.0,nM,4.43,,,UO_0000065,0,CHEMBL1772776,organism-based format,,CHEMBL1770111,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 by parasite lactate dehydrogenase assay,W2,4.43,inactive,4.43,chloroquine resistant,CQR,≤5,1,5923,c1ccc(CNCc2ccccc2)cc1,-1
CHEMBL1775012,CUPACINOSIDE,,766.92,3.0,5.08,1,CC(=O)OC[C@H]1O[C@@H](OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)[C@@H](O)[C@@H]1O,IC50,'=',1300.0,nM,5.89,,,UO_0000065,0,CHEMBL1776446,organism-based format,,CHEMBL1773047,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine- and pyrimethamine-resistant Plasmodium falciparum K1 infected in human red blood cells assessed as [3H]hypoxanthine incorporation after 48 hrs by liquid scintillation counting,K1,5.89,inactive,5.89,chloroquine and pyrimethamine resistant,"CQR, PYRR",5-6,1,5948,C1CCC(OC2CCCOC2)OC1,303
CHEMBL55088,,,244.33,0.0,4.19,4k,C1=C[C@H](C2CCCCC2)OO[C@@H]1c1ccccc1,IC50,'=',8100.0,nM,5.09,,,UO_0000065,0,CHEMBL766997,organism-based format,,CHEMBL1149128,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against Plasmodium falciparum D2,D2,5.09,inactive,5.09,,,5-6,1,27,C1=CC(C2CCCCC2)OOC1c1ccccc1,-1
CHEMBL35439,,,330.39,0.0,4.3,7j,COc1ccc(Nc2c3ccc(N)cc3nc3cc(N)ccc23)cc1,IC50,'=',150.0,nM,6.82,,,UO_0000065,0,CHEMBL762989,organism-based format,,CHEMBL1127825,1,Scientific Literature,J Med Chem,,Inhibitory concentration IC50 against Plasmodium falciparum K1 by [3H]hypoxanthine uptake over 24 hr,K1,6.82,active,6.82,,,6-7,2,5948,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,310
CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',6.5,nM,8.19,,,UO_0000065,0,CHEMBL1785684,organism-based format,,CHEMBL1781903,1,Scientific Literature,Eur J Med Chem,,Antimicrobial activity against chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of [3H] hypoxanthine incorporation after 24 hrs by scintillation counting,3D7,8.19,high_potency,7.721176,chloroquine sensitive,CQS,≥7,1556,7375,c1ccc2ncccc2c1,35
CHEMBL1946557,,,953.66,3.0,4.97,16,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CCCNc3ccnc4ccc(Cl)cc34)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,IC50,'=',3.0,nM,8.52,,,UO_0000065,0,CHEMBL1949422,organism-based format,,CHEMBL1944516,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7A infected in human A-positive erythrocytes assessed as inhibition of [3H]-hypoxanthine incorporation after 48 hrs by semi-automated microdilution technique,3D7,8.52,high_potency,8.52,chloroquine sensitive,CQS,≥7,2,7375,O=C1CC(OC2CCCCO2)CC(OC2CC(NCCCNc3ccnc4ccccc34)CCO2)CCCCNCCCCO1,175
CHEMBL1928651,,,467.59,0.0,2.54,1c,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)NN(Cc1ccccc1)C(=O)/C=C/S(C)(=O)=O,IC50,'=',21600.0,nM,4.67,,,UO_0000065,0,CHEMBL1930546,organism-based format,,CHEMBL1926620,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against ring stage Plasmodium falciparum W2 infected in human red blood cells after 48 hrs by flow cytometry,W2,4.67,inactive,4.67,,,≤5,1,5923,c1ccccc1,264
CHEMBL1928844,,,539.61,1.0,2.17,8e,COc1c(N[C@@H](CC(C)C)C(=O)NN(Cc2ccccc2)C(=O)/C=C/S(=O)(=O)c2ccccc2)c(=O)c1=O,IC50,'=',950.0,nM,6.02,,,UO_0000065,0,CHEMBL1930546,organism-based format,,CHEMBL1926620,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against ring stage Plasmodium falciparum W2 infected in human red blood cells after 48 hrs by flow cytometry,W2,6.02,active,6.02,,,6-7,1,5923,O=C(CNc1cc(=O)c1=O)NN(Cc1ccccc1)C(=O)C=CS(=O)(=O)c1ccccc1,264
CHEMBL1928852,KUGUAGLYCOSIDE A,,634.9,1.0,4.75,4,CO[C@H]1C=C2[C@@H](CC[C@H](O)C2(C)C)[C@]2(C)CC[C@]3(C)[C@@H]([C@H](C)CC(C=C(C)C)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)CC[C@@]3(C)[C@H]12,IC50,'=',3900.0,nM,5.41,,,UO_0000065,0,CHEMBL1930548,organism-based format,,CHEMBL1926567,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in erythrocytes after 48 hrs by SYBR green 1-based fluorescence assay,3D7,5.41,inactive,5.41,chloroquine sensitive,CQS,5-6,2,7375,C1=C2CCCCC2C2CCC3C(CCCOC4CCCCO4)CCC3C2C1,472
CHEMBL407837,BIS(PIVALOYLOXYMETHYL)ESTER,,427.39,0.0,2.13,17,CN(O)C(=O)COCP(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C,IC50,'=',51.0,nM,7.29,,,UO_0000065,0,CHEMBL922680,organism-based format,,CHEMBL1143891,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 in infected human erythrocytes after 48 hrs,3D7,7.29,active,7.29,,,≥7,1,7375,,167
CHEMBL153182,,,586.61,2.0,7.56,6j,CCCOc1ccc(/C=C/C(=O)Nc2ccc(NC(=O)Cc3ccc(C(F)(F)F)cc3)c(C(=O)c3ccccc3)c2)cc1,IC50,'=',100.0,nM,7.0,,,UO_0000065,0,CHEMBL760064,organism-based format,,CHEMBL1135059,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum 3D7 in erythrocytes,3D7,7.0,active,7.0,,,6-7,2,7375,O=C(C=Cc1ccccc1)Nc1ccc(NC(=O)Cc2ccccc2)c(C(=O)c2ccccc2)c1,158
CHEMBL5424190,,,363.55,1.0,6.81,11,CC(C)=CCCc1cnc2c(C)cc(OC3CCCC3)c3c2c1CC[C@H]3C,IC50,'=',12500.0,nM,4.9,,,UO_0000065,0,CHEMBL5389268,organism-based format,,CHEMBL5385927,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against choloroquine-sensitive ring stage of Plasmodium falciparum 3D7 assessed as inhibition of parasite growth measured after 72 hrs by DAPI staining based analysis,3D7,4.9,inactive,4.9,choloroquine sensitive,CQS,≤5,1,7375,c1cc2c3c(c(OC4CCCC4)ccc3n1)CCC2,-1
CHEMBL1946890,,,576.6,1.0,4.72,31,COC1=CC(=O)O[C@]2(/C=C/c3ccc(OC)c(OC)c3)[C@H]1[C@H](c1ccc(OC)c(OC)c1)[C@H]2c1cc(OC)cc(=O)o1,IC50,'=',1500.0,nM,5.82,,,UO_0000065,0,CHEMBL1947428,organism-based format,,CHEMBL1944624,1,Scientific Literature,Bioorg Med Chem,,Antiprotozoal activity against erythrocytic stages chloroquine- and pyrimethamine-resistant Plasmodium falciparum K1 assessed as inhibition of [3H]hypoxanthine incorporation pre-incubated for 48 hrs prior [3H]hypoxanthine addition measured after 24 hrs by liquid scintillation counting,K1,5.82,inactive,5.82,erythrocytic stages chloroquine and pyrimethamine resistant,"CQR, PYRR",5-6,1,5948,O=C1C=CC2C(c3ccccc3)C(c3cccc(=O)o3)C2(C=Cc2ccccc2)O1,-1
CHEMBL293915,,,592.75,2.0,5.23,4c,COc1ccc2c(c1)nc(NCCCN1CCN(CCCNc3nc4cc(OC)ccc4n4cccc34)CC1)c1cccn12,IC50,'=',130.0,nM,6.89,,,UO_0000065,0,CHEMBL766998,organism-based format,,CHEMBL1149143,1,Scientific Literature,J Med Chem,,In vitro antimalarial activity against Plasmodium falciparum FcB1,FcB1,6.89,active,6.89,,,6-7,3,748,c1ccc2c(c1)nc(NCCCN1CCN(CCCNc3nc4ccccc4n4cccc34)CC1)c1cccn12,244
CHEMBL253716,,,382.94,0.0,4.1,38c,CC(C)NCCCNc1c2ccccc2[n+](C)c2c1[nH]c1ccccc12,IC50,'=',28.0,nM,7.55,,,UO_0000065,0,CHEMBL5334337,organism-based format,,CHEMBL5331119,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human red blood cells incubated for 24 hrs followed by hypoxanthine addition and measured after 18 hrs by [3H]-hypoxanthine incorporation based liquid scintillation counter analysis,3D7,7.55,high_potency,7.565,,,≥7,8,7375,c1ccc2[nH+]c3c(cc2c1)[nH]c1ccccc13,70
CHEMBL356292,,,305.85,0.0,4.42,8,CCN(CC)CCCCNc1ccnc2cc(Cl)ccc12,IC50,'=',51.0,nM,7.29,,,UO_0000065,0,CHEMBL957290,organism-based format,,CHEMBL1150767,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum Indochina I by [3H]hypoxanthine uptake,Indochina I,7.29,active,7.29,chloroquine resistant,CQR,≥7,8,59,c1ccc2ncccc2c1,116
CHEMBL405859,,,271.71,0.0,3.06,5i,Clc1ccc2c(N/N=C/c3cnc[nH]3)ccnc2c1,IC50,'=',152.0,nM,6.82,,,UO_0000065,0,CHEMBL934470,organism-based format,,CHEMBL1142372,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by [3H]hypoxanthine incorporation,3D7,6.82,active,6.82,chloroquine sensitive,CQS,6-7,4,7375,C(=NNc1ccnc2ccccc12)c1cnc[nH]1,384
CHEMBL270549,,,347.83,0.0,3.5,9c,Cc1ccc(S(=O)(=O)NNc2ccnc3cc(Cl)ccc23)cc1,IC50,'=',3021.0,nM,5.52,,,UO_0000065,0,CHEMBL934470,organism-based format,,CHEMBL1142372,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by [3H]hypoxanthine incorporation,3D7,5.52,inactive,5.52,chloroquine sensitive,CQS,5-6,4,7375,O=S(=O)(NNc1ccnc2ccccc12)c1ccccc1,-1
