,Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,strain_norm
10722,CHEMBL513890,,,466.61,,,"Fig 1, R1C3",CC(C)(C)[Si](OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)C[C@@H]1O)(c1ccccc1)c1ccccc1,IC50,'=',6600.0,nM,5.18,,,UO_0000065,0,CHEMBL957495,organism-based format,,CHEMBL1153885,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum K1 infected erythrocytes,K1,5.18,inactive,5.18,chloroquine resistant,CQR,5.0-6.0,1,5948,K1
10723,CHEMBL3084849,,,647.85,2.0,6.4,13,CNC(=O)CCC(C)C1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCC(C)CC1)OO5,IC50,'=',3.61,nM,8.44,,,UO_0000065,0,CHEMBL765668,organism-based format,,CHEMBL1135585,1,Scientific Literature,J Med Chem,,In vitro inhibitory activity against chloroquine-resistant Plasmodium falciparum W2 Indochina,W2,8.44,high_potency,8.185,chloroquine resistant,CQR,>=7.5,4,5923,W2
10724,CHEMBL3084847,,,690.92,2.0,7.71,3f,COC(=O)CCC(C)C1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CC(C)CCC1C(C)C)OO5,IC50,'=',154.36,nM,6.81,,,UO_0000065,0,CHEMBL767074,organism-based format,,CHEMBL1135585,1,Scientific Literature,J Med Chem,,In vitro inhibitory activity against chloroquine-sensitive Plasmodium falciparum African D6,D6,6.81,active,6.81,chloroquine sensitive,CQS,6.0-7.5,2,2297,D6
10725,CHEMBL595290,,,582.7,2.0,6.25,5l,CN1CCN(C(C(=O)Nc2ccc(NC(=O)c3ccc4ccccc4c3)cc2C(=O)c2ccccc2)c2ccccc2)CC1,IC50,'=',240.0,nM,6.62,,,UO_0000065,0,CHEMBL1067840,organism-based format,HeLa,CHEMBL1152663,1,Scientific Literature,Bioorg Med Chem,CHEMBL3308376,Antimalarial activity against Plasmodium falciparum Dd2 infected in human HeLa cells after 72 hrs by [3H]hypoxanthine incorporation assay,Dd2,6.62,active,6.62,,,6.0-7.5,1,3864,Dd2
10726,CHEMBL595973,,,582.7,2.0,6.25,5k,CN1CCN(C(C(=O)Nc2ccc(NC(=O)c3cccc4ccccc34)cc2C(=O)c2ccccc2)c2ccccc2)CC1,IC50,'=',930.0,nM,6.03,,,UO_0000065,0,CHEMBL1067840,organism-based format,HeLa,CHEMBL1152663,1,Scientific Literature,Bioorg Med Chem,CHEMBL3308376,Antimalarial activity against Plasmodium falciparum Dd2 infected in human HeLa cells after 72 hrs by [3H]hypoxanthine incorporation assay,Dd2,6.03,active,6.03,,,6.0-7.5,1,3864,Dd2
10727,CHEMBL117831,,,325.29,0.0,4.72,1n,Cn1c2nc3ccc(C#N)cc3c-2cc2cc(C(F)(F)F)ccc21,IC50,'=',6700.0,nM,5.17,,,UO_0000065,0,CHEMBL762996,organism-based format,,CHEMBL1135534,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2,W2,5.17,inactive,5.17,chloroquine resistant,CQR,5.0-6.0,2,5923,W2
10728,CHEMBL488491,,,514.6,2.0,5.37,6b,O=C(Nc1cccn([C@H](/C=C/S(=O)(=O)c2ccccc2)Cc2ccccc2)c1=O)OCc1ccccc1,IC50,'=',35700.0,nM,4.45,,,UO_0000065,0,CHEMBL945399,organism-based format,,CHEMBL1158154,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 in human erythrocytes by [3H]hypoxanthine uptake,3D7,4.45,inactive,4.45,chloroquine sensitive,CQS,<=5.0,2,7375,3D7
10729,CHEMBL487275,,,446.5,0.0,4.5,6a,COC(=O)/C=C/[C@H](CCc1ccccc1)n1cccc(NC(=O)OCc2ccccc2)c1=O,IC50,'=',27900.0,nM,4.55,,,UO_0000065,0,CHEMBL945399,organism-based format,,CHEMBL1158154,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 in human erythrocytes by [3H]hypoxanthine uptake,3D7,4.55,inactive,4.55,chloroquine sensitive,CQS,<=5.0,2,7375,3D7
10730,CHEMBL477322,,,292.38,0.0,2.29,5g,OC[C@H]1CC2CCN1C[C@@H]2C#Cc1cnc2ccccc2c1,IC50,'=',2700.0,nM,5.57,,,UO_0000065,0,CHEMBL962001,organism-based format,,CHEMBL1137637,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity after 48 hrs against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1 in human erythrocytes by [3H]hypoxanthine uptake,K1,5.57,inactive,5.57,chloroquine and pyrimethamine resistant,"CQR, PYRR",5.0-6.0,1,5948,K1
10731,CHEMBL486501,,,291.83,0.0,4.08,4,CCNCCCCCNc1ccnc2cc(Cl)ccc12,IC50,'=',786.0,nM,6.11,,,UO_0000065,0,CHEMBL954847,organism-based format,,CHEMBL1150767,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum Dd2 after 72 hrs by SYBR green assay,Dd2,6.1,active,6.1,chloroquine resistant,CQR,6.0-7.5,4,3864,Dd2
10732,CHEMBL384639,,,1099.01,,,30,O=C(CCN1CCN(CCC(=O)N2CCN(c3ccnc4cc(Cl)ccc34)CCN(c3ccnc4cc(Cl)ccc34)CC2)CC1)N1CCN(c2ccnc3cc(Cl)ccc23)CCN(c2ccnc3cc(Cl)ccc23)CC1,IC50,'=',59.7,nM,7.22,,,UO_0000065,0,CHEMBL754065,organism-based format,,CHEMBL1134480,1,Scientific Literature,J Med Chem,,In vitro growth inhibition of Plasmodium falciparum D6,D6,7.22,active,7.22,,,6.0-7.5,5,2297,D6
10733,CHEMBL391338,,,330.43,0.0,3.11,11,COc1ccc2nc(OC(C)C)cc(NC3(CCCN)CC3)c2n1,IC50,'=',47.0,nM,7.33,,,UO_0000065,0,CHEMBL900423,organism-based format,,CHEMBL1137548,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2,W2,7.33,active,7.33,chloroquine resistant,CQR,6.0-7.5,1,5923,W2
10734,CHEMBL394423,,,220.31,0.0,3.04,2b,CC(C)=CCC[C@@]1(C)OCC2=CC(=O)CC21,IC50,'=',1800.0,nM,5.75,,,UO_0000065,0,CHEMBL900468,organism-based format,,CHEMBL1137552,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity after 48 hrs against chloroquine-resistant Plasmodium falciparum FcM29-Cameroon by [3H]hypoxanthine uptake,FcM29,5.74,inactive,5.74,chloroquine resistant,CQR,5.0-6.0,1,163,FcM29
10735,CHEMBL1224130,,,443.68,1.0,5.6,18c,c1ccc(C2CC3(N4CCCCC4)CC(NCN4CCCC4)C2C(c2ccccc2)C3)cc1,IC50,'=',76.0,nM,7.12,,,UO_0000065,0,CHEMBL1226106,organism-based format,,CHEMBL1221362,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum K1 infected in human blood by [3H]hypoxanthine incorporation assay,K1,7.12,active,7.12,,,6.0-7.5,1,5948,K1
10736,CHEMBL493860,,,416.96,1.0,6.14,2b,Cc1c(CN2CCCC2)cc(-c2ccccc2)n1Nc1ccnc2cc(Cl)ccc12,IC50,'=',42.9,nM,7.37,,,UO_0000065,0,CHEMBL1228648,organism-based format,,CHEMBL1221400,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D10 infected in human A+ RBC after 72 hrs by parasite LDH assay,D10,7.37,active,7.37,chloroquine sensitive,CQS,6.0-7.5,3,1503,D10
10737,CHEMBL550581,,,300.35,0.0,4.55,2r,CCCc1ccc(C2OOC(c3ccc(C)cc3)OO2)cc1,IC50,'=',1060.0,nM,5.97,,,UO_0000065,0,CHEMBL1051632,organism-based format,,CHEMBL1152414,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity after 72 hrs against chloroquine-resistant Plasmodium falciparum W2 by Malstat LDH activity,W2,5.97,inactive,5.97,chloroquine resistant,CQR,5.0-6.0,2,5923,W2
10738,CHEMBL1215310,,,299.3,0.0,3.39,1e,CC(=O)Nc1ccc(O)c(C(=O)/C=C/c2ccccc2F)c1,IC50,'=',12300.0,nM,4.91,,,UO_0000065,0,CHEMBL1219011,organism-based format,,CHEMBL1212869,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 infected in human A+ erythrocytes assessed as inhibition of parasite proliferation after 48 hrs,W2,4.91,inactive,4.91,chloroquine resistant,CQR,<=5.0,1,5923,W2
10739,CHEMBL1215461,,,347.29,0.0,4.44,2h,CC(=O)Nc1ccc2oc(-c3cccc(C(F)(F)F)c3)cc(=O)c2c1,IC50,'=',50000.0,nM,4.3,,,UO_0000065,0,CHEMBL1219011,organism-based format,,CHEMBL1212869,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 infected in human A+ erythrocytes assessed as inhibition of parasite proliferation after 48 hrs,W2,4.3,inactive,4.3,chloroquine resistant,CQR,<=5.0,1,5923,W2
10742,CHEMBL1214755,DESMETHYLLIMOCIN B,,470.61,0.0,4.01,6,CC(=O)O[C@@H]1C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)[C@H]3[C@@H]3COC(O)C3)[C@@]21C,IC50,'=',4800.0,nM,5.32,,,UO_0000065,0,CHEMBL1219535,organism-based format,,CHEMBL1212893,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D10 after 72 hrs by LDH assay,D10,5.32,inactive,5.32,chloroquine sensitive,CQS,5.0-6.0,2,1503,D10
10743,CHEMBL468427,,,440.03,1.0,6.19,13,O=C(CC12CC3CC(CC(C3)C1)C2)NCCCCCNc1ccnc2cc(Cl)ccc12,IC50,'=',267.28,nM,6.57,,,UO_0000065,0,CHEMBL997856,organism-based format,,CHEMBL1155893,1,Scientific Literature,J Med Chem,,"Antimalarial activity against chloroquine,mefloquine-sensitive Plasmodium falciparum D6",D6,6.57,active,6.57,chloroquine mefloquine sensitive,"CQS, MEFS",6.0-7.5,3,2297,D6
10744,CHEMBL1214174,,,409.3,0.0,3.18,21,CSc1nn(-c2ccccc2)c(C)[n+]1-c1ccccc1,IC50,'=',3100.0,nM,5.51,,,UO_0000065,0,CHEMBL1217341,organism-based format,,CHEMBL1212856,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 after 72 by LDH assay,3D7,5.51,inactive,5.51,,,5.0-6.0,1,7375,3D7
10745,CHEMBL416958,,,315.38,0.0,3.88,7a,Nc1ccc(Nc2c3ccc(N)cc3nc3cc(N)ccc23)cc1,IC50,'=',25.0,nM,7.6,,,UO_0000065,0,CHEMBL762989,organism-based format,,CHEMBL1127825,1,Scientific Literature,J Med Chem,,Inhibitory concentration IC50 against Plasmodium falciparum K1 by [3H]hypoxanthine uptake over 24 hr,K1,7.6,high_potency,7.6,,,>=7.5,4,5948,K1
10746,CHEMBL487720,,,458.57,0.0,4.11,simvastatin sodium salt,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21,IC50,'=',48400.0,nM,4.32,,,UO_0000065,0,CHEMBL960525,organism-based format,,CHEMBL1157377,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum Bre1,Bre1,4.32,inactive,4.32,chloroquine resistant,CQR,<=5.0,6,26,Bre1
10747,CHEMBL468588,,,397.95,1.0,5.02,11,O=C(CC12CC3CC(CC(C3)C1)C2)NCCNc1ccnc2cc(Cl)ccc12,IC50,'=',253.81,nM,6.59,,,UO_0000065,0,CHEMBL997858,organism-based format,,CHEMBL1155893,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2,W2,6.6,active,6.6,chloroquine resistant,CQR,6.0-7.5,3,5923,W2
10748,CHEMBL218330,,,348.4,0.0,4.76,"9, WR-289015",COc1ccc(C(=O)/C=C/c2cccc3ccccc23)c(OC)c1OC,IC50,'=',4300.0,nM,5.37,,,UO_0000065,0,CHEMBL962377,organism-based format,,CHEMBL1153933,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity after 24 hrs against chloroquine-sensitive Plasmodium falciparum D6 by [3H]hypoxanthine uptake,D6,5.37,inactive,5.37,chloroquine sensitive,CQS,5.0-6.0,4,2297,D6
10749,CHEMBL482493,,,373.88,0.0,3.94,5i,CCN(CC)c1ccc2nc3ccc(N4CCOCC4)cc3[o+]c2c1,IC50,'=',29.0,nM,7.54,,,UO_0000065,0,CHEMBL1001817,organism-based format,,CHEMBL1150378,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1,K1,7.54,high_potency,7.54,chloroquine and pyrimethamine resistant,"CQR, PYRR",>=7.5,1,5948,K1
10750,CHEMBL484915,,,387.87,0.0,2.94,5d,c1cc2nc3ccc(N4CCOCC4)cc3[o+]c2cc1N1CCOCC1,IC50,'=',431.0,nM,6.37,,,UO_0000065,0,CHEMBL1001817,organism-based format,,CHEMBL1150378,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine and pyrimethamine-resistant Plasmodium falciparum K1,K1,6.37,active,6.37,chloroquine and pyrimethamine resistant,"CQR, PYRR",6.0-7.5,1,5948,K1
10751,CHEMBL1256789,,,487.69,1.0,6.2,"NCGC00094022-01, NNC 55-0396",Cc1ccc2c(c1)CC[C@@](CCN(C)CCCc1nc3ccccc3[nH]1)(OC(=O)C1CC1)[C@H]2C(C)C,IC50,'=',2511.89,nM,5.6,,,UO_0000065,0,CHEMBL1267246,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum 7G8 after 72 hrs by SYBR green assay,7G8,5.6,inactive,5.6,,,5.0-6.0,7,892,7G8
10752,CHEMBL486490,,,289.34,0.0,3.35,11,Cc1cc(N(C)c2ccc3ccccc3c2)n2ncnc2n1,IC50,'=',16000.0,nM,4.8,,,UO_0000065,0,CHEMBL961432,organism-based format,,CHEMBL1150779,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum 3D7 in erythrocytes as [3H]hypoxanthine uptake,3D7,4.8,inactive,4.8,,,<=5.0,1,7375,3D7
10754,CHEMBL485417,,,378.48,0.0,4.45,33,CC(C)NC(=N)c1ccc(-c2cc3cc(C(=N)NC(C)C)ccc3o2)c(O)c1,IC50,'=',28.0,nM,7.55,,,UO_0000065,0,CHEMBL990646,organism-based format,,CHEMBL1142519,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum K1,K1,7.55,high_potency,7.55,chloroquine resistant,CQR,>=7.5,1,5948,K1
10755,CHEMBL464601,,,378.48,0.0,4.45,45,CC(C)NC(=N)c1ccc(-c2cc3ccc(C(=N)NC(C)C)cc3o2)c(O)c1,IC50,'=',597.0,nM,6.22,,,UO_0000065,0,CHEMBL990646,organism-based format,,CHEMBL1142519,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum K1,K1,6.22,active,6.22,chloroquine resistant,CQR,6.0-7.5,1,5948,K1
10756,CHEMBL514770,,,457.01,1.0,7.82,1g,Oc1c(Cl)cc(SSc2cc(Cl)c(O)c(Cl)c2Cl)c(Cl)c1Cl,IC50,'=',5500.0,nM,5.26,,,UO_0000065,0,CHEMBL944269,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum W2 by [3H]hypoxanthine uptake,W2,5.26,inactive,5.26,chloroquine sensitive,CQS,5.0-6.0,2,5923,W2
10757,CHEMBL472941,,,319.3,1.0,6.44,1j,Clc1ccc(SSSc2ccc(Cl)cc2)cc1,IC50,'=',2100.0,nM,5.68,,,UO_0000065,0,CHEMBL944269,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum W2 by [3H]hypoxanthine uptake,W2,5.68,inactive,5.68,chloroquine sensitive,CQS,5.0-6.0,2,5923,W2
10758,CHEMBL489497,,,174.24,0.0,-0.4,4d,CC(CN)CCC(C)(O)C(N)=O,IC50,'=',14600.0,nM,4.84,,,UO_0000065,0,CHEMBL944269,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum W2 by [3H]hypoxanthine uptake,W2,4.84,inactive,4.84,chloroquine sensitive,CQS,<=5.0,2,5923,W2
10759,CHEMBL490686,,,349.8,0.0,3.32,3c,Nc1ccc(S(=O)(=O)c2cc(O)c3ccccc3c2O)c(Cl)c1,IC50,'=',10.0,nM,8.0,,,UO_0000065,0,CHEMBL944270,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum D6 by [3H]hypoxanthine uptake,D6,8.0,high_potency,8.0,chloroquine resistant,CQR,>=7.5,2,2297,D6
10760,CHEMBL449180,,,265.29,0.0,1.51,3e,Nc1ccc(S(=O)(=O)c2cc(O)ccc2O)cc1,IC50,'=',790.0,nM,6.1,,,UO_0000065,0,CHEMBL944270,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum D6 by [3H]hypoxanthine uptake,D6,6.1,active,6.1,chloroquine resistant,CQR,6.0-7.5,3,2297,D6
10761,CHEMBL490100,,,258.34,0.0,3.52,3p,C/C(=C/c1ccccc1)S(=O)(=O)c1ccccc1,IC50,'=',28000.0,nM,4.55,,,UO_0000065,0,CHEMBL944270,organism-based format,,CHEMBL1140898,1,Scientific Literature,J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum D6 by [3H]hypoxanthine uptake,D6,4.55,inactive,4.55,chloroquine resistant,CQR,<=5.0,1,2297,D6
10762,CHEMBL2338057,,,306.45,0.0,3.5,2b,Cc1ccc(CNC[C@H]2C[C@@]3(c4ccccc4)CCN2C3)cc1,IC50,'=',10340.0,nM,4.99,,,UO_0000065,0,CHEMBL2344359,organism-based format,,CHEMBL2331223,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D10,D10,4.99,inactive,4.99,chloroquine sensitive,CQS,<=5.0,2,1503,D10
10763,CHEMBL2314143,,,272.2,0.0,0.43,9,CC(=O)N(O)CCC(N=[N+]=[N-])P(=O)(O)O,IC50,'=',1980.0,nM,5.7,,,UO_0000065,0,CHEMBL2320618,organism-based format,,CHEMBL2311477,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum K1 infected in human erythrocytes assessed as parasite growth inhibition,K1,5.7,inactive,5.7,,,5.0-6.0,1,5948,K1
10764,CHEMBL2314402,,,375.3,1.0,5.49,8a,Clc1ccc(CNCCCCOc2ccc(Cl)c3cccnc23)cc1,IC50,'=',9990.0,nM,5.0,,,UO_0000065,0,CHEMBL2320152,organism-based format,,CHEMBL2311534,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against erythrocyte form of chloroquine-sensitive Plasmodium falciparum D10 by parasite lactate dehydrogenase assay,D10,5.0,inactive,5.0,erythrocyte form of chloroquine sensitive,CQS,<=5.0,1,1503,D10
10766,CHEMBL472719,,,315.69,0.0,2.44,18,N#Cc1c(-c2ccc(F)cc2)[n+]([O-])c2ccc(Cl)cc2[n+]1[O-],IC50,'=',5830.0,nM,5.23,,,UO_0000065,0,CHEMBL968941,organism-based format,,CHEMBL1140972,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity after 48 hrs against chloroquine-sensitive Plasmodium falciparum 3D7 by [3H]hypoxanthine uptake,3D7,5.23,inactive,5.23,chloroquine sensitive,CQS,5.0-6.0,1,7375,3D7
10767,CHEMBL490076,,,377.28,0.0,2.55,32,COc1ccc2c(c1)[n+]([O-])c(C#N)c(-c1ccc(OC(F)(F)F)cc1)[n+]2[O-],IC50,'=',1250.0,nM,5.9,,,UO_0000065,0,CHEMBL968942,organism-based format,,CHEMBL1140972,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity after 48 hrs against chloroquine-resistant Plasmodium falciparum K1 by [3H]hypoxanthine uptake,K1,5.9,inactive,5.9,chloroquine resistant,CQR,5.0-6.0,2,5948,K1
10768,CHEMBL1077395,,,633.31,2.0,11.75,1g,CCCCCCCCCCCCCCCCCC(=O)OC1=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc2C1=O,IC50,'=',52.0,nM,7.28,,,UO_0000065,0,CHEMBL1112368,organism-based format,,CHEMBL1154273,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against Plasmodium falciparum Nigerian assessed as [3H]hypoxanthine uptake after 48 hrs by liquid scintillation counting,Nigerian,7.28,active,7.28,,,6.0-7.5,1,187,Nigerian
10769,CHEMBL1450,ATOVAQUONE,4.0,366.84,1.0,5.51,Atovaquone,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,IC50,'=',0.75,nM,9.12,,,UO_0000065,0,CHEMBL1112368,organism-based format,,CHEMBL1154273,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against Plasmodium falciparum Nigerian assessed as [3H]hypoxanthine uptake after 48 hrs by liquid scintillation counting,Nigerian,9.12,high_potency,9.12,,,>=7.5,115,187,Nigerian
10770,CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,Chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',125.0,nM,6.9,,,UO_0000065,0,CHEMBL1112368,organism-based format,,CHEMBL1154273,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against Plasmodium falciparum Nigerian assessed as [3H]hypoxanthine uptake after 48 hrs by liquid scintillation counting,Nigerian,6.9,active,7.412,,,6.0-7.5,1556,187,Nigerian
10771,CHEMBL138623,,,339.87,1.0,5.47,3,CCN(CC)Cc1cccc(Nc2ccnc3cc(Cl)ccc23)c1,IC50,'=',13.2,nM,7.88,,,UO_0000065,0,CHEMBL979570,organism-based format,,CHEMBL1149757,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum Thai after 24 hrs by semiautomated micro dilution assay,THAI,7.88,high_potency,7.88,chloroquine resistant,CQR,>=7.5,4,54,THAI
10772,CHEMBL2314404,,,437.8,1.0,6.7,8c,Cc1ccc2c(Cl)cc(Cl)c(OCC(C)CCNCc3ccc(Cl)cc3)c2n1,IC50,'=',260.0,nM,6.58,,,UO_0000065,0,CHEMBL2320153,organism-based format,,CHEMBL2311534,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against erythrocyte form of chloroquine-resistant Plasmodium falciparum Dd2 by parasite lactate dehydrogenase assay,Dd2,6.59,active,6.59,erythrocyte form of chloroquine resistant,CQR,6.0-7.5,2,3864,Dd2
10773,CHEMBL2324439,,,425.53,1.0,5.42,6d,COc1ccc(/C=C/C(=O)NCCCCNc2c3ccccc3nc3ccccc23)cc1,IC50,'=',138.0,nM,6.86,,,UO_0000065,0,CHEMBL2327438,organism-based format,,CHEMBL2321657,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against ring stage of CQ-resistant Plasmodium falciparum W2 after 48 hrs by flow cytometric analysis,W2,6.86,active,6.86,ring stage of cq resistant,CQR,6.0-7.5,1,5923,W2
10774,CHEMBL1087964,,,357.88,1.0,5.2,7,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccoc1,IC50,'=',45.0,nM,7.35,,,UO_0000065,0,CHEMBL1117325,organism-based format,,CHEMBL1157913,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 by FACS assay,3D7,7.35,active,7.35,,,6.0-7.5,2,7375,3D7
10775,CHEMBL1088123,,,369.85,0.0,4.21,18,Clc1ccc2c(NCCCNCc3cccc4c3OCO4)ccnc2c1,IC50,'=',2.5,nM,8.6,,,UO_0000065,0,CHEMBL1117325,organism-based format,,CHEMBL1157913,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 by FACS assay,3D7,8.6,high_potency,8.6,,,>=7.5,2,7375,3D7
10776,CHEMBL1087837,,,373.95,1.0,5.66,6,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccsc1,IC50,'=',50.0,nM,7.3,,,UO_0000065,0,CHEMBL1117326,organism-based format,,CHEMBL1157913,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum W2 by FACS assay,W2,7.3,active,7.3,,,6.0-7.5,2,5923,W2
10777,CHEMBL376939,,,415.94,1.0,5.75,15,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1c(F)cccc1OC,IC50,'=',80.0,nM,7.1,,,UO_0000065,0,CHEMBL1117326,organism-based format,,CHEMBL1157913,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum W2 by FACS assay,W2,7.1,active,7.45,,,6.0-7.5,4,5923,W2
10778,CHEMBL474707,,,338.84,0.0,4.5,21a,CN(C)CCNc1c2cc(Cl)ccc2nc2[nH]c3ccccc3c12,IC50,'=',400.0,nM,6.4,,,UO_0000065,0,CHEMBL1006270,organism-based format,,CHEMBL1138479,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum Ghana in human erythrocytes after 72 hrs by Malstat assay,GHA,6.4,active,6.4,chloroquine sensitive,CQS,6.0-7.5,1,164,GHA
10780,CHEMBL479693,NITIDANIN,,404.42,0.0,2.3,4,COc1cc([C@@H]2Oc3cc(/C=C/CO)cc(OC)c3O[C@H]2CO)cc(OC)c1O,IC50,'=',21200.0,nM,4.67,,,UO_0000065,0,CHEMBL977833,organism-based format,,CHEMBL1157285,1,Scientific Literature,J Nat Prod,,Antimalarial activity against Plasmodium falciparum D6 by [3H]hypoxanthine uptake,D6,4.67,inactive,4.67,,,<=5.0,2,2297,D6
10781,CHEMBL446383,NEOTHALIBRINE,,624.78,2.0,6.76,1,COc1cc2c(cc1O)[C@H](Cc1ccc(OC)c(Oc3ccc(C[C@H]4c5cc(OC)c(OC)cc5CCN4C)cc3)c1)N(C)CC2,IC50,'=',47.0,nM,7.33,,,UO_0000065,0,CHEMBL975629,organism-based format,,CHEMBL1157985,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 infected human erythrocytes as [3H]hypoxanthine uptake after 24 hrs,D6,7.33,active,7.33,chloroquine sensitive,CQS,6.0-7.5,2,2297,D6
